Tabla,Campo,Referencia a,Tipo de relación
Gestión Cuotas,Documento,Gestión Documentos,N:1
Gestión Cuotas,Compañía,Operaciones Compañías,N:1
Gestión Cuotas,Seguro,Operaciones Seguros,N:1
Gestión Cuotas,Cliente,Grupos Clientes,N:1
Gestión Cuotas,Contratante,Datos RUTs,N:1
Gestión Cuotas,Póliza,Gestión Pólizas,N:1
Gestión Documentos,Póliza,Gestión Pólizas,N:1
Gestión Documentos,Cliente,Grupos Clientes,N:1
Gestión Documentos,Contratante,Datos RUTs,N:1
Gestión Documentos,Producto,Operaciones Productos,N:1
Gestión Documentos,Partner,Operaciones Partners,N:1
Gestión Materias,Documento,Gestión Documentos,N:1
Gestión Materias,Base Materia,Grupos Materias,N:1
Gestión Materias,Seguro,Operaciones Seguros,N:1
Gestión Materias,Asegurado,Datos RUTs,N:1
Gestión Materias,Póliza,Gestión Pólizas,N:1
Gestión Materias,Contratante,Datos RUTs,N:1
Gestión Materias,Cliente,Grupos Clientes,N:1
Gestión Planes de Pago,Documento,Gestión Documentos,N:1
Gestión Planes de Pago,Póliza,Gestión Pólizas,N:1
Gestión Pólizas,Producto,Operaciones Productos,N:1
Gestión Pólizas,Ejecutivo,Operaciones Ejecutivos,N:1
Gestión Pólizas,Cliente,Grupos Clientes,N:1
Gestión Pólizas,Contratante,Datos RUTs,N:1
Gestión Pólizas,Pagador,Datos RUTs,N:1
Gestión Pólizas,Ramo,Operaciones Ramos,N:1
Gestión Pólizas,Compañía,Operaciones Compañías,N:1
Gestión Pólizas,Seguro,Operaciones Seguros,N:1
Gestión Pólizas,Verificador Traspaso,Gestión Registros,N:1
Gestión Pólizas,Registro Padre,Cruce RegistrosXPólizas,N:1
Gestión Registros,Seguro,Operaciones Seguros,N:1
Gestión Registros,Cot Aceptada,Gestión Cotizaciones,N:1
Gestión Registros,Póliza,Gestión Pólizas,N:1
Gestión Registros,Contratante,Datos RUTs,N:1
Gestión Registros,Pagador,Datos RUTs,N:1
Gestión Registros,Cliente,Grupos Clientes,N:1
Gestión Registros,Producto,Operaciones Productos,N:1
Gestión Registros,Ejecutivo,Operaciones Ejecutivos,N:1
Gestión Registros,Compañía,Operaciones Compañías,N:1
Gestión Registros,Plan,Operaciones Planes,N:1
Gestión Registros,Asegurado,Datos RUTs,N:1
Gestión Siniestros,Materia,Gestión Materias,N:1
Gestión Siniestros,Póliza,Gestión Pólizas,N:1
Gestión Solicitudes,Documento,Gestión Documentos,N:1
Gestión Solicitudes,Póliza,Gestión Pólizas,N:1
Gestión Solicitudes,Ramo,Operaciones Ramos,N:1
Gestión Solicitudes,Contratante,Datos RUTs,N:1
Gestión Solicitudes,Cliente,Grupos Clientes,N:1
Gestión Solicitudes,Compañía,Operaciones Compañías,N:1
Gestión Solicitudes,Ejecutivo,Operaciones Ejecutivos,N:1
Gestión Solicitudes,Producto,Operaciones Productos,N:1
Gestión Solicitudes,Cotización,Gestión Cotizaciones,N:1
Grupos Clientes,Cliente,Datos RUTs,1:1
Grupos Clientes,Partner,Operaciones Partners,N:1
Grupos Entidades,Asegurado,Datos RUTs,1:1
Grupos Entidades,Gestor,Operaciones Gestores,1:1
Grupos Entidades,Partner,Operaciones Partners,1:1
Grupos Entidades,Banco,Operaciones Bancos,1:1
Grupos Entidades,Proveedor,Operaciones Proveedores,1:1
Grupos Entidades,Compañía,Operaciones Compañías,1:1
Grupos Materias,Seguro,Operaciones Seguros,N:1
Grupos Materias,Asegurado,Datos RUTs,N:1
Grupos Materias,Vehículo,Datos Vehículos,N:1
Grupos Materias,Inmueble,Datos Inmuebles,N:1
Grupos Materias,Otra,Datos Otras,N:1
Grupos Materias,Vida y Salud,Datos Vida y Salud,N:1
Operaciones Compañías,Ejecutivo Principal,Operaciones Ejecutivos,N:1
Operaciones Ejecutivos,Banco,Operaciones Bancos,N:1
Operaciones Ejecutivos,Compañía,Operaciones Compañías,N:1
Operaciones Ejecutivos,Proveedor,Operaciones Proveedores,N:1
Operaciones Líneas de Negocios,Ramo,Operaciones Ramos,N:1
Operaciones Líneas de Negocios,Compañía,Operaciones Compañías,N:1
Operaciones Planes,Producto,Operaciones Productos,N:1
Operaciones Productos,Seguro,Operaciones Seguros,N:1
Operaciones Productos,Compañía,Operaciones Compañías,N:1
Operaciones Productos,Ramo,Operaciones Ramos,N:1
Operaciones Protocolos,Entidad,Grupos Entidades,N:1
Operaciones Protocolos,Persona a Cargo,Operaciones Ejecutivos,N:1
