ID,Activa?,Seguro,Asegurado,Tipo,Uso,Vehículo,Inmueble,Otra,Vida y Salud,Comentarios
BMa0014,FALSE,Seg0028,rut0069,Vehículo,Particular,BMa0014,,,,
BMa0015,FALSE,Seg0028,rut0174,Vehículo,Particular,BMa0015,,,,
BMa0017,FALSE,Seg0028,rut0102,Vehículo,Particular,BMa0017,,,,
BMa0018,FALSE,Seg0028,rut0081,Vehículo,Particular,BMa0018,,,,
BMa0019,TRUE,Seg0028,rut0000,Vehículo,Particular,BMa0019,,,,
BMa0020,FALSE,Seg0028,rut0071,Vehículo,Particular,BMa0020,,,,
BMa0024,FALSE,Seg0028,rut0051,Vehículo,Particular,BMa0024,,,,
BMa0025,TRUE,Seg0011,rut0041,Vehículo,Comercial,BMa0025,,,,
BMa0026,TRUE,Seg0028,rut0105,Vehículo,Particular,BMa0026,,,,
BMa0027,TRUE,Seg0028,rut0044,Vehículo,Particular,BMa0027,,,,
BMa0028,FALSE,Seg0028,rut0076,Vehículo,Particular,BMa0028,,,,
BMa0029,TRUE,Seg0028,rut0016,Vehículo,Particular,BMa0029,,,,
BMa0030,FALSE,Seg0028,rut0070,Vehículo,Particular,BMa0030,,,,
BMa0033,FALSE,Seg0028,rut0184,Vehículo,Particular,BMa0033,,,,
BMa0034,FALSE,Seg0028,rut0119,Vehículo,Particular,BMa0034,,,,
BMa0035,TRUE,Seg0028,rut0053,Vehículo,Particular,BMa0035,,,,
BMa0036,TRUE,Seg0028,rut0191,Vehículo,Particular,BMa0036,,,,
BMa0037,TRUE,Seg0028,rut0120,Vehículo,Particular,BMa0037,,,,
BMa0041,TRUE,Seg0028,rut0089,Vehículo,Particular,BMa0041,,,,
BMa0042,TRUE,Seg0028,rut0061,Vehículo,Particular,BMa0042,,,,
BMa0043,FALSE,Seg0028,rut0160,Vehículo,Particular,BMa0043,,,,Vendido
BMa0044,FALSE,Seg0028,rut0160,Vehículo,Particular,BMa0044,,,,
BMa0045,FALSE,Seg0028,rut0160,Vehículo,Particular,BMa0045,,,,
BMa0046,FALSE,Seg0028,rut0008,Vehículo,Particular,BMa0046,,,,
BMa0047,TRUE,Seg0028,rut0126,Vehículo,Particular,BMa0047,,,,
BMa0048,FALSE,Seg0028,rut0094,Vehículo,Particular,BMa0048,,,,
BMa0049,FALSE,Seg0028,rut0121,Vehículo,Particular,BMa0049,,,,
BMa0050,FALSE,Seg0028,rut0172,Vehículo,Particular,BMa0050,,,,
BMa0051,FALSE,Seg0028,rut0028,Vehículo,Particular,BMa0051,,,,
BMa0052,FALSE,Seg0028,rut0002,Vehículo,Particular,BMa0052,,,,
BMa0053,TRUE,Seg0028,rut0003,Vehículo,Particular,BMa0053,,,,
BMa0054,FALSE,Seg0028,rut0078,Vehículo,Particular,BMa0054,,,,
BMa0055,FALSE,Seg0028,rut0176,Vehículo,Particular,BMa0055,,,,
BMa0056,FALSE,Seg0028,rut0151,Vehículo,Particular,BMa0056,,,,
BMa0057,FALSE,Seg0028,rut0189,Vehículo,Particular,BMa0057,,,,
BMa0058,FALSE,Seg0028,rut0060,Vehículo,Particular,BMa0058,,,,
BMa0059,FALSE,Seg0028,rut0198,Vehículo,Particular,BMa0059,,,,
BMa0060,FALSE,Seg0028,rut0025,Vehículo,Particular,BMa0060,,,,
BMa0061,TRUE,Seg0028,rut0146,Vehículo,Particular,BMa0061,,,,
BMa0062,FALSE,Seg0028,rut0032,Vehículo,Particular,BMa0062,,,,
BMa0063,TRUE,Seg0028,rut0091,Vehículo,Particular,BMa0063,,,,
BMa0064,FALSE,Seg0028,rut0030,Vehículo,Particular,BMa0064,,,,
BMa0065,TRUE,Seg0028,rut0179,Vehículo,Particular,BMa0065,,,,
BMa0066,FALSE,Seg0028,rut0136,Vehículo,Particular,BMa0066,,,,
BMa0067,TRUE,Seg0028,rut0145,Vehículo,Particular,BMa0067,,,,
BMa0068,TRUE,Seg0028,rut0143,Vehículo,Particular,BMa0068,,,,
BMa0069,FALSE,Seg0028,rut0110,Vehículo,Particular,BMa0069,,,,
BMa0070,FALSE,Seg0028,rut0110,Vehículo,Particular,BMa0070,,,,
BMa0071,FALSE,Seg0028,rut0110,Vehículo,Particular,BMa0071,,,,
BMa0072,FALSE,Seg0028,rut0110,Vehículo,Particular,BMa0072,,,,
BMa0073,FALSE,Seg0028,rut0090,Vehículo,Particular,BMa0073,,,,
BMa0074,TRUE,Seg0028,rut0118,Vehículo,Particular,BMa0074,,,,
BMa0075,FALSE,Seg0028,rut0182,Vehículo,Particular,BMa0075,,,,
BMa0076,FALSE,Seg0028,rut0181,Vehículo,Particular,BMa0076,,,,
BMa0077,TRUE,Seg0028,rut0079,Vehículo,Particular,BMa0077,,,,
BMa0078,TRUE,Seg0028,rut0056,Vehículo,Particular,BMa0078,,,,
BMa0079,TRUE,Seg0028,rut0128,Vehículo,Particular,BMa0079,,,,
BMa0080,FALSE,Seg0028,rut0113,Vehículo,Particular,BMa0080,,,,
BMa0081,FALSE,Seg0028,rut0088,Vehículo,Particular,BMa0081,,,,
BMa0082,FALSE,Seg0028,rut0024,Vehículo,Particular,BMa0082,,,,
BMa0083,TRUE,Seg0028,rut0087,Vehículo,Particular,BMa0083,,,,
BMa0084,TRUE,Seg0028,rut0080,Vehículo,Particular,BMa0084,,,,
BMa0085,TRUE,Seg0028,rut0128,Vehículo,Particular,BMa0085,,,,
BMa0088,FALSE,Seg0028,rut0156,Vehículo,Particular,BMa0088,,,,Vendido
BMa0090,FALSE,Seg0028,rut0173,Vehículo,Comercial,BMa0090,,,,
BMa0091,TRUE,Seg0028,rut0135,Vehículo,Particular,BMa0091,,,,
BMa0092,FALSE,Seg0028,rut0052,Vehículo,Particular,BMa0092,,,,
BMa0093,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0093,,,,
BMa0094,TRUE,Seg0028,rut0117,Vehículo,Particular,BMa0094,,,,
BMa0095,FALSE,Seg0028,rut0173,Vehículo,Comercial,BMa0095,,,,
BMa0096,FALSE,Seg0028,rut0173,Vehículo,Comercial,BMa0096,,,,
BMa0098,TRUE,Seg0028,rut0107,Vehículo,Particular,BMa0098,,,,
BMa0103,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0103,,,,
BMa0106,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0106,,,,
BMa0108,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0108,,,,
BMa0111,FALSE,Seg0028,rut0173,Vehículo,Comercial,BMa0111,,,,
BMa0114,FALSE,Seg0028,rut0174,Vehículo,Particular,BMa0114,,,,
BMa0116,TRUE,Seg0028,rut0124,Vehículo,Particular,BMa0116,,,,
BMa0118,FALSE,Seg0028,rut0158,Vehículo,Particular,BMa0118,,,,Vendido
BMa0119,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0119,,,,
BMa0120,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0120,,,,
BMa0121,FALSE,Seg0028,rut0022,Vehículo,Particular,BMa0121,,,,Vendido
BMa0123,FALSE,Seg0028,rut0074,Vehículo,Particular,BMa0123,,,,
BMa0124,TRUE,Seg0028,rut0066,Vehículo,Particular,BMa0124,,,,
BMa0126,TRUE,Seg0028,rut0159,Vehículo,Particular,BMa0126,,,,
BMa0127,TRUE,Seg0028,rut0149,Vehículo,Comercial,BMa0127,,,,
BMa0131,TRUE,Seg0028,rut0135,Vehículo,Particular,BMa0131,,,,
BMa0132,TRUE,Seg0028,rut0169,Vehículo,Particular,BMa0132,,,,
BMa0133,FALSE,Seg0028,rut0048,Vehículo,Comercial,BMa0133,,,,
BMa0134,FALSE,Seg0028,rut0009,Vehículo,Particular,BMa0134,,,,Vendido al suegro.
BMa0135,TRUE,Seg0028,rut0189,Vehículo,Particular,BMa0135,,,,
BMa0141,FALSE,Seg0028,rut0013,Vehículo,Particular,BMa0141,,,,El auto es de la Hermana. Ella quedó como asegurada
BMa0142,TRUE,Seg0028,rut0013,Vehículo,Particular,BMa0142,,,,
BMa0144,FALSE,Seg0028,rut0190,Vehículo,Particular,BMa0144,,,,
BMa0145,FALSE,Seg0028,rut0063,Vehículo,Particular,BMa0145,,,,
BMa0148,TRUE,Seg0028,rut0042,Vehículo,Particular,BMa0148,,,,
BMa0150,TRUE,Seg0028,rut0144,Vehículo,Particular,BMa0150,,,,
BMa0153,TRUE,Seg0028,rut0039,Vehículo,Particular,BMa0153,,,,
BMa0154,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0154,,,,
BMa0156,TRUE,Seg0028,rut0194,Vehículo,Comercial,BMa0156,,,,
BMa0158,FALSE,Seg0028,rut0172,Vehículo,Particular,BMa0158,,,,
BMa0159,TRUE,Seg0028,rut0078,Vehículo,Particular,BMa0159,,,,
BMa0160,TRUE,Seg0028,rut0070,Vehículo,Particular,BMa0160,,,,
BMa0161,FALSE,Seg0028,rut0030,Vehículo,Particular,BMa0161,,,,
BMa0163,TRUE,Seg0028,rut0142,Vehículo,Particular,BMa0163,,,,
BMa0164,TRUE,Seg0028,rut0050,Vehículo,Comercial,BMa0164,,,,
BMa0168,TRUE,Seg0028,rut0017,Vehículo,Comercial,BMa0168,,,,
BMa0169,FALSE,Seg0028,rut0159,Vehículo,Particular,BMa0169,,,,
BMa0170,FALSE,Seg0028,rut0160,Vehículo,Particular,BMa0170,,,,
BMa0171,TRUE,Seg0028,rut0193,Vehículo,Particular,BMa0171,,,,
BMa0172,FALSE,Seg0028,rut0108,Vehículo,Particular,BMa0172,,,,
BMa0173,TRUE,Seg0028,rut0085,Vehículo,Particular,BMa0173,,,,
BMa0176,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0176,,,,
BMa0179,TRUE,Seg0028,rut0162,Vehículo,Particular,BMa0179,,,,
BMa0180,FALSE,Seg0028,rut0113,Vehículo,Particular,BMa0180,,,,
BMa0181,TRUE,Seg0028,rut0198,Vehículo,Particular,BMa0181,,,,
BMa0182,TRUE,Seg0028,rut0027,Vehículo,Particular,BMa0182,,,,
BMa0183,TRUE,Seg0028,rut0058,Vehículo,Particular,BMa0183,,,,
BMa0192,TRUE,Seg0028,rut0030,Vehículo,Particular,BMa0192,,,,
BMa0193,FALSE,Seg0028,rut0173,Vehículo,Comercial,BMa0193,,,,
BMa0195,TRUE,Seg0028,rut0161,Vehículo,Particular,BMa0195,,,,
BMa0196,FALSE,Seg0028,rut0133,Vehículo,Particular,BMa0196,,,,
BMa0197,FALSE,Seg0028,rut0144,Vehículo,Particular,BMa0197,,,,
BMa0198,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0198,,,,
BMa0199,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0199,,,,
BMa0200,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0200,,,,
BMa0201,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0201,,,,
BMa0202,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0202,,,,
BMa0203,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0203,,,,
BMa0204,FALSE,Seg0028,rut0096,Vehículo,Comercial,BMa0204,,,,
BMa0205,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0205,,,,
BMa0206,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0206,,,,
BMa0207,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0207,,,,
BMa0208,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0208,,,,
BMa0039,FALSE,Seg0028,rut0096,Vehículo,Comercial,BMa0039,,,,
BMa0209,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0209,,,,
BMa0210,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0210,,,,
BMa0211,FALSE,Seg0028,rut0096,Vehículo,Comercial,BMa0211,,,,
BMa0212,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0212,,,,
BMa0213,TRUE,Seg0028,rut0096,Vehículo,Comercial,BMa0213,,,,
BMa0214,TRUE,Seg0028,rut0187,Vehículo,Particular,BMa0214,,,,
BMa0215,FALSE,Seg0028,rut0175,Vehículo,Particular,BMa0215,,,,
BMa0216,FALSE,Seg0028,rut0086,Vehículo,Particular,BMa0216,,,,
BMa0217,FALSE,Seg0028,rut0150,Vehículo,Particular,BMa0217,,,,
BMa0218,FALSE,Seg0028,rut0034,Vehículo,Particular,BMa0218,,,,
BMa0219,FALSE,Seg0028,rut0077,Vehículo,Particular,BMa0219,,,,
BMa0220,FALSE,Seg0028,rut0077,Vehículo,Particular,BMa0220,,,,
BMa0221,FALSE,Seg0028,rut0004,Vehículo,Particular,BMa0221,,,,
BMa0222,FALSE,Seg0028,rut0006,Vehículo,Particular,BMa0222,,,,
BMa0223,FALSE,Seg0028,rut0164,Vehículo,Particular,BMa0223,,,,
BMa0224,FALSE,Seg0028,rut0155,Vehículo,Particular,BMa0224,,,,
BMa0225,TRUE,Seg0028,rut0127,Vehículo,Particular,BMa0225,,,,
BMa0226,FALSE,Seg0028,rut0085,Vehículo,Particular,BMa0226,,,,
BMa0227,TRUE,Seg0028,rut0045,Vehículo,Particular,BMa0227,,,,
BMa0228,FALSE,Seg0028,rut0177,Vehículo,Particular,BMa0228,,,,
BMa0229,FALSE,Seg0028,rut0054,Vehículo,Particular,BMa0229,,,,
BMa0230,TRUE,Seg0028,rut0057,Vehículo,Comercial,BMa0230,,,,
BMa0231,FALSE,Seg0028,rut0057,Vehículo,Comercial,BMa0231,,,,
BMa0232,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0232,,,,
BMa0233,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0233,,,,
BMa0234,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0234,,,,
BMa0235,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0235,,,,
BMa0236,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0236,,,,
BMa0237,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0237,,,,
BMa0238,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0238,,,,
BMa0239,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0239,,,,
BMa0240,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0240,,,,
BMa0241,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0241,,,,
BMa0242,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0242,,,,
BMa0243,FALSE,Seg0028,rut0067,Vehículo,Comercial,BMa0243,,,,
BMa0244,TRUE,Seg0028,rut0067,Vehículo,Comercial,BMa0244,,,,
