ID,Comisión Base,Factura
Factu0198,BCom0177,Fac0105
Factu0199,BCom0178,Fac0106
Factu0200,BCom0179,Fac0124
Factu0201,BCom0180,Fac0125
Factu0202,BCom0181,Fac0133
Factu0203,BCom0182,Fac0034
Factu0204,BCom0183,Fac0157
Factu0205,BCom0184,
Factu0207,BCom0186,Fac0192
Factu0208,BCom0187,Fac0186
Factu0209,BCom0188,Fac0189
Factu0210,BCom0189,
Factu0211,BCom0190,Fac0190
Factu0212,BCom0191,Fac0097
Factu0213,BCom0191,Fac0098
Factu0214,BCom0192,Fac0174
Factu0215,BCom0192,Fac0175
Factu0216,BCom0193,Fac0163
Factu0217,BCom0194,Fac0198
Factu0218,BCom0195,Fac0199
Factu0219,BCom0196,
Factu0220,BCom0197,
Factu0221,BCom0198,
Factu0223,BCom0200,Fac0096
Factu0224,BCom0201,
f9795975,BCom0001,3b04a5e3
6fe3c283,BCom0156,Fac0050
37dbe7c3,BCom0105,87af5940
bcbc3f17,ca9c4c0b,Fac0172
ac7d9f2f,561f9cb6,18913428
0d10fc22,05eaada1,79138ab9
63e79d2c,9862821b,de5d9845
ac6c03d7,9d80be8f,6172b10d
7e53c609,75b59afd,817f8141
54c72c04,2b7f7d96,721bcb11
d180d12e,c1bd6414,7cb75411
b167d7c0,b06f7486,9e33692a
199550c2,7d78a85a,33b70599
bbb0437e,1bba54a5,b556c7f7
f6822045,993c7ef9,282c93fb
7970ab42,b7d1c2b6,8e054b9c
adba41dd,b7d1c2b6,a932b88f
20014233,13661b9d,e2515e3c
40b1a315,61bbf10b,54fc210f
71618958,a0a84533,c958048c
5e5c4604,a0a84533,3a8594e0
09b9a76d,d7c4e963,9aae76d2
e05aa77e,d7c4e963,5ec67315
1e00c67f,95f2e70e,09ba2b7a
c54662d0,d6389329,4a394fa4
22ce9172,BCom0151,1c980df2
0a9c89e8,BCom0151,8ced3ba1
75195a14,8f9176c6,58deb6ec
dbf3c83c,4bd97e22,199513be
681fbc30,91d7c324,ed538267
26a85e96,91d7c324,69dba698
5ac20b0d,f93171df,aee9e398
a359e1af,f93171df,bd5b5313
36e9e0b8,1769c241,d9ea6ad6
61774277,1769c241,55ebd7ec
ebd7650f,55538119,a8245526
6488687f,592aceb1,f9bf22a1
af920c81,BCom0139,a71bad47
76ba03b3,BCom0139,Fac0158
