ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Ren0149,27/2/2025,Renovación,,Renovado,,,,Individual,Seg0023,,Pol0214,FALSE,TRUE,rut0149,rut0149,Cli0103,,,UF,,,,,,,15.00%,0.00%,PAT,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/EZ0sxeXQo35BrV3sy4HrtWMBFSUWQu8ZF9qjSndfMCN10A?e=URQAka,,,9/3/2025,,
Ren0150,27/2/2025,Renovación,,Renovado,,,,Individual,Seg0003,,Pol0215,FALSE,TRUE,rut0149,rut0149,Cli0103,,,UF,,,,,,,15.00%,15.00%,Directa,,,,,,Portal,,,9/3/2025,,
Ren0151,28/2/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0216,FALSE,TRUE,rut0039,rut0039,Cli0030,,,UF,,,,,,,15.00%,0.00%,PAT,,,,,,Portal,,,10/3/2025,,
Neg0131,15/12/2025,Prospecto,,,Perdido,,,Individual,Seg0028,Cot0131,,FALSE,,rut0168,rut0168,Cli0114,,,UF,,,,,,,,,PAT,,,No Aplica,,,,,Mejorar: DEducible UF3 Anual UF12.24,25/12/2025,,
Ren0152,7/3/2025,Renovación,,Cambio Cía,,,,Individual,Seg0028,,Pol0217,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,10.50%,0.00%,Directa,,,,,,,,,17/3/2025,,
Ren0153,7/3/2025,Renovación,,Cambio Cía,,,,Individual,Seg0028,,Pol0219,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,10.50%,0.00%,Directa,,,,,,,,,17/3/2025,,
Ren0154,7/3/2025,Renovación,,Renovado,,,,Individual,Seg0023,,Pol0221,FALSE,TRUE,rut0056,rut0056,Cli0040,,,UF,,,,,,,18.00%,0.00%,Directa,,,,,,,,,17/3/2025,,
Ren0155,15/3/2025,Renovación,,Cambio Cía,,,,Individual,Seg0028,,Pol0222,FALSE,TRUE,rut0194,rut0194,Cli0127,,,UF,,,,,,,17.00%,0.00%,Directa,,,,,,,,,25/3/2025,,
Neg0132,17/3/2025,Negocio,Aceptado,,,,,Individual,,Cot0132,,FALSE,TRUE,rut0039,rut0039,Cli0030,,,UF,,,,,,,,,PAT,,,Autoinspección,1193474,,,,,27/3/2025,,
Neg0133,19/3/2025,Negocio,Aceptado,,,,,Individual,,Cot0133,,FALSE,TRUE,rut0071,rut0071,Cli0050,,,UF,,,,,,,,,PAT,,,Autoinspección,,,,,,29/3/2025,,
Ren0157,25/3/2025,Renovación,,Renovado,,,,Individual,Seg0013,,Pol0223,FALSE,TRUE,rut0037,rut0037,Cli0029,,,UF,,,,,,,0.00%,0.00%,Directa,,,,,,,,,4/4/2025,,
Neg0134,26/3/2025,Negocio,Aceptado,,,,,Individual,,Cot0134,,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,,,Directa,,,Continuidad,,,,,,5/4/2025,,
Neg0135,26/3/2025,Negocio,Aceptado,,,,,Individual,,Cot0135,,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,,,Directa,,,Continuidad,,,,,,5/4/2025,,
Ren0158,26/3/2025,Renovación,,Renovado,,,,Individual,Seg0022,,Pol0224,FALSE,TRUE,rut0037,rut0037,Cli0029,,,UF,,,,,,,0.00%,0.00%,Directa,,,,,,,,,5/4/2025,,
