ID,Rut,Razón Social,Corto,Casa Matriz,Sucursal Asignada,Fono Matriz,Fono Sucursal,Página Web,Portal
Bank0001,76645030-K,,Itaú,,,,,,
Bank0002,97018000-1,,Scotiabank,,,,,,
