ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
e7cc3600,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,1/5/2026 8:00:16,1/5/2026 8:00:16
f170ff4b,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,1/5/2026 8:00:16,1/5/2026 8:00:16
2ddfc8ec,Cat0006,,,,,,Revisar Prospectos 01/05/26,,Obligación,7075efec,1/5/2026,,1/5/2026,Baja,0,TRUE,FALSE,,1/5/2026 8:00:16,1/5/2026 8:00:16
510c65ce,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,2/5/2026 8:00:11,2/5/2026 8:00:11
2abfc8bb,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,2/5/2026 8:00:11,2/5/2026 8:00:11
afef4d4d,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,2/5/2026 8:00:11,2/5/2026 8:00:11
3da1ea8c,Cat0006,,,,,,Revisar Prospectos 02/05/26,,Obligación,7075efec,2/5/2026,,2/5/2026,Baja,0,TRUE,FALSE,,2/5/2026 8:00:11,2/5/2026 8:00:11
03b98d50,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,3/5/2026 8:00:11,3/5/2026 8:00:11
6bef6378,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,3/5/2026 8:00:11,3/5/2026 8:00:11
394b780c,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,3/5/2026 8:00:11,3/5/2026 8:00:11
