ID,Registro,Póliza
Pol0177,Ren0032,Pol0177
Pol0178,,Pol0178
Pol0179,Ren0041,Pol0179
Pol0180,Ren0036,Pol0180
Pol0181,Ren0043,Pol0181
Pol0182,Ren0046,Pol0182
Pol0183,Ren0030,Pol0183
Pol0184,Ren0122,Pol0184
Pol0185,,Pol0185
Pol0186,Ren0052,Pol0186
Pol0187,Ren0047,Pol0187
Pol0188,Ren0031,Pol0188
Pol0189,Neg0064,Pol0189
Pol0190,Neg0065,Pol0190
Pol0191,Ren0054,Pol0191
Pol0192,Ren0039,Pol0192
Pol0193,Ren0049,Pol0193
Pol0194,Ren0050,Pol0194
Pol0195,Ren0038,Pol0195
Pol0196,,Pol0196
Pol0197,Ren0040,Pol0197
Pol0198,Neg0067,Pol0198
Pol0199,Ren0037,Pol0199
Pol0200,Ren0053,Pol0200
Pol0201,Neg0066,Pol0201
Pol0202,Neg0069,Pol0202
Pol0203,Neg0051,Pol0203
Pol0204,Neg0070,Pol0204
Pol0205,Neg0071,Pol0205
Pol0206,Neg0074,Pol0206
Pol0207,Neg0072,Pol0207
Pol0208,Neg0073,Pol0208
Pol0209,Pol0209,Pol0209
Pol0210,Ren0057,Pol0210
Pol0211,Ren0058,Pol0211
Pol0212,Ren0059,Pol0212
Pol0213,Ren0060,Pol0213
Pol0214,Neg0075,Pol0214
Pol0215,Neg0076,Pol0215
Pol0216,Neg0077,Pol0216
Pol0217,Neg0078,Pol0217
Pol0218,Neg0079,Pol0218
Pol0219,Neg0080,Pol0219
Pol0220,Neg0081,Pol0220
Pol0221,Neg0082,Pol0221
Pol0222,Neg0083,Pol0222
Pol0223,Ren0061,Pol0223
Pol0224,Pol0224,Pol0224
Pol0225,Ren0062,Pol0225
Pol0226,Neg0084,Pol0226
Pol0227,Ren0064,Pol0227
Pol0228,Neg0086,Pol0228
Pol0229,Ren0065,Pol0229
Pol0230,Ren0066,Pol0230
Pol0231,Neg0089,Pol0231
Pol0232,Neg0087,Pol0232
Pol0233,Ren0067,Pol0233
Pol0234,Neg0091,Pol0234
Pol0235,Neg0090,Pol0235
Pol0236,Neg0088,Pol0236
Pol0237,Neg0092,Pol0237
Pol0238,Ren0068,Pol0238
Pol0239,Ren0069,Pol0239
Pol0240,Neg0093,Pol0240
Pol0241,Pol0241,Pol0241
Pol0242,Neg0156,Pol0242
Pol0243,Ren0070,Pol0243
Pol0244,Neg0158,Pol0244
Pol0245,Pol0245,Pol0245
Pol0246,Ren0071,Pol0246
Pol0247,Ren0072,Pol0247
Pol0248,Ren0073,Pol0248
Pol0249,Ren0074,Pol0249
Pol0250,,Pol0250
Pol0251,Ren0075,Pol0251
Pol0252,Ren0076,Pol0252
Pol0253,Neg0094,Pol0253
Pol0254,Neg0095,Pol0254
Pol0255,Neg0097,Pol0255
Pol0256,Neg0098,Pol0256
Pol0257,Neg0096,Pol0257
Pol0258,Ren0077,Pol0258
Pol0259,Ren0078,Pol0259
Pol0260,Ren0079,Pol0260
Pol0261,Neg0099,Pol0261
Pol0262,Neg0100,Pol0262
Pol0263,Ren0080,Pol0263
Pol0264,Neg0101,Pol0264
Pol0265,Neg0102,Pol0265
Pol0266,Ren0081,Pol0266
Pol0267,Ren0082,Pol0267
Pol0268,Ren0188,Pol0268
Pol0269,Ren0083,Pol0269
Pol0270,Ren0084,Pol0270
Pol0271,Neg0103,Pol0271
Pol0272,Ren0085,Pol0272
Pol0273,Ren0086,Pol0273
