ID,Registro,Grupo Materia
Nbmat170,Neg0170,BMa0193
Nbmat171,Neg0171,BMa0171
Nbmat172,8888cabf,d5c4d539
Nbmat173,0b88954a,ff7028f8
ff727661,Neg0002,BMa0199
a535c804,Neg0002,BMa0200
626da142,Neg0002,BMa0201
ff727662,Neg0002,BMa0202
a535c805,Neg0002,BMa0203
626da143,Neg0002,BMa0204
ff727663,Neg0002,BMa0205
a535c806,Neg0002,BMa0206
626da144,Neg0002,BMa0207
ff727664,Neg0002,BMa0208
a535c807,Neg0002,BMa0039
626da145,Neg0002,BMa0209
ff727665,Neg0002,BMa0210
a535c808,Neg0002,BMa0211
626da146,Neg0002,BMa0212
ff727666,Neg0002,BMa0213
6ade6481,3670afd7,1eba0546
b4f156e3,31ac3e19,dc8f58d9
0063ddcb,94aab317,7455c66f
4b4fac17,0f0b53ad,1eaf59fa
eb658af0,a45964c9,4c6b3e81
ad6a0ec1,a7fec0d9,d9392c53
8b1b9b74,Ren0190,BMa0121
7d469c13,b85a3025,cef152d3
97afd09e,9632e8b5,b5f32842
7b1871f1,b3db958a,f325c22c
9d1293bb,8fa6ddd5,b5f32842
6f4c3e8a,d74a477f,BMa0124
5ae4df72,241b4895,240cbb04
8a9961ea,a0ebb3b3,05b29dac
314dacf2,1aaac0cb,BMa0285
0b498a7f,f98f4481,212837cd
1426622d,8aaf46ba,15726b43
0b549b2d,2d6bb025,2ff0e71c
417c9fde,46b82f8e,bce73aa3
1253a0ef,6e6b8483,BMa0164
24986025,c83f0584,7d83fd85
85977300,212e89c1,BMa0020
c3df8fa7,28872a0c,BMa0006
cb46589c,ae64c767,BMa0013
2cf9b2d0,c03c9974,dbdfa152
f065e950,401ef48f,f91ff6d4
43b5f04c,57f54aa0,8275b80c
26d9795e,30cda41b,0e2a1bcf
2f7a519d,6137a1d9,2db6d512
ba442e2f,df9875b3,f862952c
ecd992c2,75981335,50b95645
f1764abf,e8a75220,63803278
be8b6766,1c1623bf,5d9fa33f
2b8ded74,6a6d843f,9173bd62
e1098ba3,00ae15c1,bfa7d1ff
8a02f918,d1f02d61,BMa0037
158d35da,44db2753,82bccab8
a7925e59,e200030b,BMa0127
869af36b,262b9f98,BMa0285
a6d62f2e,0263c441,BMa0029
ea82a121,2a15e628,BMa0006
e3da766d,8ec4f8d8,BMa0047
211c0020,fc7a7987,BMa0048
c1402182,62c21e54,BMa0019
31fd6574,543066bb,b45c7ca3
040928fc,82bd9642,ff7028f8
245fec0f,b1b7165c,BMa0036
c706317e,d4f9c9d7,BMa0267
66018a0c,46e8e49c,BMa0214
b3164145,bfdedb94,BMa0229
254aaa28,1052a1a4,0a4f0ce3
2d112f13,1d6dc457,BMa0252
db9aa904,72a81bef,BMa0083
26f58426,d51d7ce2,240cbb04
12c68e42,d3752173,7455c66f
fe2f7a57,abf5ecf7,1eaf59fa
15e6e4eb,cc870851,4c6b3e81
ffbb234e,77c17dea,BMa0196
c2606a4f,0598c408,BMa0065
3b11b6e9,417f161d,BMa0254
719d1a48,8a181242,BMa0225
85e715f1,d0b502bf,BMa0227
77619071,ad93ea2b,BMa0257
47e0df4d,5976b900,BMa0266
f62e092c,d504b32d,BMa0276
f37da6d5,e55a81be,BMa0281
fa211146,101a0a69,BMa0284
8eda9741,cfb4e007,BMa0286
3a65cccb,c3a78960,cef152d3
57c422b8,31c127a5,0e2a1bcf
d3f51a73,8601d49a,2db6d512
79be1bcb,a80db467,BMa0061
357b2a41,f3c3e533,5e9b0bd1
5785d49f,5a79ad75,0875d6af
c884f5ce,8de372fa,3e09c7e1
255b2869,e941100c,1cf89759
c7ce2e18,ab5d0c04,BMa0131
49d0812b,8834ad0e,2fe1a1ff
04fd9add,2bd45f72,BMa0091
874b1de0,ca0659a3,7567a170
4acd9eba,22c9c350,cc1cedb5
5bfe9fb2,ea5023f8,58228770
c826f0df,c8d1b5af,838dc2dc
94226d7b,7b14721e,8b219ecc
3be14357,ca644998,26ed91d9
2a815f72,32da4e0c,BMa0142
ca4046de,b6f8a30c,a5a7c164
8d297830,f3b56345,3c6b63de
44961d61,8187f4d0,BMa0287
54deac42,23872a90,9fb87a16
415f6d4e,2a56238c,35f486ec
d60b70d6,0b31b71e,BMa0181
b5c6e708,fcc910b9,BMa0150
a5aaa65d,a14e21aa,4cc51591
4f745fba,4cf4e6a0,85b2d255
943037a7,5423a1e7,BMa0148
2eeab44c,9068243c,BMa0084
da36471a,aa113c96,BMa0025
1ac3987f,aa771c94,e5a1ec35
d7dcafbf,53bdb5e8,565e13df
5745b836,2856c70a,c3dfdbc8
58727fad,e6aa8b9a,BMa0212
496c3dd1,9614284a,BMa0176
8842de75,63a49fe0,3cd7078f
8352b365,7edb0d4b,BMa0213
15cc5084,339fa3f9,BMa0210
c2dca507,339fa3f933,BMa0209
77bf23ab,339fa3f849,BMa0201
79531426,339fa3f765,BMa0198
528a5bf6,339fa3f681,BMa0205
ab00f3bb,339fa3f597,BMa0199
da2c637f,339fa3f513,BMa0200
87992ca0,339fa3f429,BMa0206
7ee34b15,339fa3f345,BMa0208
4fc6508a,339fa3f261,BMa0202
ecf6cc5b,339fa3f177,BMa0207
5d041bd2,339fa3f93,BMa0203
72d77fb1,a34ebb14,23648178
4d83d075,6538a3f3,BMa0061
6da6b182,84cf7d14,BMa0159
7aff72cb,9f17dea2,BMa0091
a76c375e,304b3cf5,d7b3799c
5fb09d77,Ren0183,BMa0103
bb1ee525,Ren0183,BMa0106
2476317a,Ren0183,BMa0108
af07bc49,Ren0183,BMa0235
0cab63ea,Ren0183,BMa0236
eb147466,Ren0183,BMa0239
4154dcf6,Ren0183,BMa0241
04bb5caf,Ren0183,BMa0244
4ca07aa9,Ren0183,BMa0245
fc624930,3daa9575,BMa0053
ad04bb3b,83945dfb,BMa0271
84584d77,83945dfb,BMa0093
40e6b536,83945dfb,BMa0035
70f58339,83945dfb,BMa0078
82b29f0d,83945dfb,BMa0120
f500b953,5b28fbe7,BMa0187
1a37c0b7,18b91ed7,BMa0089
11789145,98d5e628,BMa0002
c3841c0b,0f938ac0,BMa0157
cc22cbc5,a4caf327,BMa0091
36bf409c,e0fa476e,BMa0183
e2bc0198,d09543a6,BMa0159
453a4400,4bc35765,BMa0160
342c2a90,de2d43b6,835b46ce
c9eef038,e4e057cf,274994b8
df1896c6,2a7b8c5f,BMa0077
f698e770,ea32237c,BMa0094
e916c241,128b47cc,BMa0163
967ff7b5,29be0d9a,BMa0122
1858d7e0,c03e5f3a,BMa0173
f76acc49,f3c2adf3,0653b499
42747f3d,c2c8516c,0653b499
15464aed,3124d879,BMa0019
dbe3fa46,d409d0a1,35f486ec
464aad43,60c09a2a,0e2a1bcf
cc4e616d,22091eff,26ed91d9
f5bfd11d,64da7b0d,BMa0013
0c0c3d15,e517bdf1,BMa0276
a5350416,73e9290e,ded448d5
39860d83,957af58b,BMa0261
e6e43c4a,9a50583f,BMa0266
e81f6a0d,8c4b6276,3c6b63de
d4a4f335,ef30a321,BMa0047
028dad95,28bcbcd6,50b95645
d8cda443,bc83789d,2db6d512
3cb218b7,0ff7fff4,BMa0230
14ddbf8f,1f2be392,
