Tabla,Campo,Referencia a,Tipo de relación
cruce_tablas.registros_x_polizas,registro_id,gestion.registro,N:M (Bridge table)
cruce_tablas.registros_x_polizas,poliza_id,gestion.poliza,N:M (Bridge table)
cruce_tablas.registros_x_polizas,cotizacion_id,gestion.cotizacion,N:M (Bridge table)
cruce_tablas.relaciones_ruts,rut_origen_id,datos.rut,N:M (Bridge table)
cruce_tablas.relaciones_ruts,rut_destino_id,datos.rut,N:M (Bridge table)
cruce_tablas.seguros_x_cia,seguro_id,operaciones.seguro,N:M (Bridge table)
cruce_tablas.seguros_x_cia,compania_id,operaciones.compania,N:M (Bridge table)
cruce_tablas.valores_x_cotizacion,cotizacion_id,gestion.cotizacion,N:M (Bridge table)
cruce_tablas.valores_x_cotizacion,plan_id,operaciones.plan,N:M (Bridge table)
datos.inmueble,comuna_id,operaciones.comuna,N:1 (FK)
datos.otra,vehiculo_id,datos.vehiculo,N:1 (FK)
datos.otra,inmueble_id,datos.inmueble,N:1 (FK)
datos.rut,comuna_id,operaciones.comuna,N:1 (FK)
datos.vida_salud,titular_id,datos.rut,1:1
datos.vida_salud_carga,vida_salud_id,datos.vida_salud,N:1 (FK)
datos.vida_salud_carga,rut_carga_id,datos.rut,N:1 (FK)
gestion.cobranza,destinatario_id,grupos.grupo_cliente,N:1 (FK)
gestion.comision,compania_id,operaciones.compania,N:1 (FK)
gestion.cotizacion,registro_id,gestion.registro,N:1 (FK)
gestion.cotizacion,producto_id,operaciones.producto,N:1 (FK)
gestion.cuota,plan_pago_id,gestion.plan_pago,N:1 (FK)
gestion.cuota,documento_id,gestion.documento,N:1 (FK)
gestion.cuota,poliza_id,gestion.poliza,N:1 (FK)
gestion.cuota,compania_id,operaciones.compania,N:1 (FK)
gestion.cuota,seguro_id,operaciones.seguro,N:1 (FK)
gestion.cuota,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.cuota,contratante_id,datos.rut,N:1 (FK)
gestion.documento,poliza_id,gestion.poliza,N:1 (FK)
gestion.documento,cotizacion_id,gestion.cotizacion,N:1 (FK)
gestion.documento,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.documento,contratante_id,datos.rut,N:1 (FK)
gestion.documento,producto_id,operaciones.producto,N:1 (FK)
gestion.documento,partner_id,operaciones.partner,N:1 (FK)
gestion.materia,documento_id,gestion.documento,N:1 (FK)
gestion.materia,base_materia_id,grupos.grupo_materia,N:1 (FK)
gestion.materia,seguro_id,operaciones.seguro,N:1 (FK)
gestion.materia,plan_id,operaciones.plan,N:1 (FK)
gestion.materia,asegurado_id,datos.rut,N:1 (FK)
gestion.materia,contratante_id,datos.rut,N:1 (FK)
gestion.materia,poliza_id,gestion.poliza,N:1 (FK)
gestion.materia,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.nota,autor_id,operaciones.gestor,N:1 (FK)
gestion.plan_pago,documento_id,gestion.documento,1:1
gestion.plan_pago,poliza_id,gestion.poliza,N:1 (FK)
gestion.poliza,producto_id,operaciones.producto,N:1 (FK)
gestion.poliza,ejecutivo_id,operaciones.ejecutivo,N:1 (FK)
gestion.poliza,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.poliza,contratante_id,datos.rut,N:1 (FK)
gestion.poliza,pagador_id,datos.rut,N:1 (FK)
gestion.poliza,ramo_id,operaciones.ramo,N:1 (FK)
gestion.poliza,compania_id,operaciones.compania,N:1 (FK)
gestion.poliza,seguro_id,operaciones.seguro,N:1 (FK)
gestion.poliza,verificador_traspaso_id,gestion.registro,N:1 (FK)
gestion.poliza,cotizacion_id,gestion.cotizacion,N:1 (FK)
gestion.poliza,poliza_anterior_id,gestion.poliza,N:1 (FK)
gestion.registro,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.registro,asegurado_id,datos.rut,N:1 (FK)
gestion.registro,contratante_id,datos.rut,N:1 (FK)
gestion.registro,pagador_id,datos.rut,N:1 (FK)
gestion.registro,ejecutivo_id,operaciones.ejecutivo,N:1 (FK)
gestion.registro,compania_id,operaciones.compania,N:1 (FK)
gestion.registro,seguro_id,operaciones.seguro,N:1 (FK)
gestion.registro,producto_id,operaciones.producto,N:1 (FK)
gestion.registro,plan_id,operaciones.plan,N:1 (FK)
gestion.registro,cot_aceptada_id,gestion.cotizacion,N:1 (FK)
gestion.registro,poliza_id,gestion.poliza,N:1 (FK)
gestion.siniestro,materia_id,gestion.materia,N:1 (FK)
gestion.siniestro,poliza_id,gestion.poliza,N:1 (FK)
gestion.solicitud,documento_id,gestion.documento,N:1 (FK)
gestion.solicitud,poliza_id,gestion.poliza,N:1 (FK)
gestion.solicitud,ramo_id,operaciones.ramo,N:1 (FK)
gestion.solicitud,compania_id,operaciones.compania,N:1 (FK)
gestion.solicitud,ejecutivo_id,operaciones.ejecutivo,N:1 (FK)
gestion.solicitud,producto_id,operaciones.producto,N:1 (FK)
gestion.solicitud,cotizacion_id,gestion.cotizacion,N:1 (FK)
gestion.solicitud,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
gestion.solicitud,contratante_id,datos.rut,N:1 (FK)
grupos.grupo_cliente,rut_id,datos.rut,N:1 (FK)
grupos.grupo_cliente,partner_id,operaciones.partner,N:1 (FK)
grupos.grupo_entidad,asegurado_id,datos.rut,N:1 (FK)
grupos.grupo_entidad,gestor_id,operaciones.gestor,N:1 (FK)
grupos.grupo_entidad,partner_id,operaciones.partner,N:1 (FK)
grupos.grupo_entidad,banco_id,operaciones.banco,N:1 (FK)
grupos.grupo_entidad,proveedor_id,operaciones.proveedor,N:1 (FK)
grupos.grupo_entidad,compania_id,operaciones.compania,N:1 (FK)
grupos.grupo_materia,seguro_id,operaciones.seguro,N:1 (FK)
grupos.grupo_materia,asegurado_id,datos.rut,N:1 (FK)
grupos.grupo_materia,vehiculo_id,datos.vehiculo,N:1 (FK)
grupos.grupo_materia,inmueble_id,datos.inmueble,N:1 (FK)
grupos.grupo_materia,otra_id,datos.otra,N:1 (FK)
grupos.grupo_materia,vida_salud_id,datos.vida_salud,N:1 (FK)
operaciones.banco,rut_id,datos.rut,N:1 (FK)
operaciones.compania,rut_id,datos.rut,N:1 (FK)
operaciones.compania,ejecutivo_principal_id,operaciones.ejecutivo,N:1 (FK)
operaciones.compania,sucesora_id,operaciones.compania,N:1 (FK)
operaciones.ejecutivo,banco_id,operaciones.banco,N:1 (FK)
operaciones.ejecutivo,compania_id,operaciones.compania,N:1 (FK)
operaciones.ejecutivo,proveedor_id,operaciones.proveedor,N:1 (FK)
operaciones.gestor,rut_id,datos.rut,N:1 (FK)
operaciones.linea_negocio,ramo_id,operaciones.ramo,N:1 (FK)
operaciones.linea_negocio,compania_id,operaciones.compania,N:1 (FK)
operaciones.partner,rut_id,datos.rut,N:1 (FK)
operaciones.plan,producto_id,operaciones.producto,N:1 (FK)
operaciones.producto,seguro_id,operaciones.seguro,N:1 (FK)
operaciones.producto,compania_id,operaciones.compania,N:1 (FK)
operaciones.producto,ramo_id,operaciones.ramo,N:1 (FK)
operaciones.protocolo,grupo_entidad_id,grupos.grupo_entidad,N:1 (FK)
operaciones.protocolo,responsable_id,operaciones.ejecutivo,N:1 (FK)
operaciones.proveedor,rut_id,datos.rut,N:1 (FK)
